Title: Meeting the Cool Neighbors XII: An Optically-Anchored Analysis of 
       the Near-Infrared Spectra of L Dwarfs
Authors: Cruz K.L., Nunez A., Burgasser A.J., Abrahams E., Rice E.L., 
         Reid I.N., Looper D. 
Table: New Near-Infrared IRTF SpeX Prism Observations
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 24 A24    ---   Name   Designation
  26- 29 I4     yr    Obs.Y  Observation Year
  31- 32 I2     ---   Obs.M  Observation Month
  34- 35 I2     d     Obs.D  Observation Day in Month
--------------------------------------------------------------------------------
2MASS J00011217+1535355  2003 09 03 
2MASS J00034227-2822410  2007 11 13 
2MASS J00192626+4614078  2004 11 08 
2MASS J00193927-3724392  2003 09 05 
2MASS J00194579+5213179  2004 11 08 
2MASS J00250365+4759191  2003 09 03 
2MASS J00274197+0503417  2006 08 21 
2MASS J00275592+2219328  2004 11 08 
2MASS J00282091+2249050  2003 09 03 
2MASS J00325584-4405058  2007 11 13 
2MASS J00332386-1521309  2003 09 04 
2MASS J00361617+1821104  2003 08 12 
SIPS J0050-1538          2008 09 08 
2MASS J01095117-0343264  2004 11 08 
2MASS J01330461-1355271  2005 10 20 
2MASS J01410321+1804502  2003 08 12 
2MASS J01443536-0716142  2004 11 08 
2MASS J01483864-3024396  2004 11 08 
2MASS J01550354+0950003  2003 09 04 
2MASS J01581172+3232013  2003 09 04 
2MASS J02050344+1251422  2006 08 20 
2MASS J02103857-3015313  2003 09 04 
2MASS J02132880+4444453  2004 11 08 
2MASS J02192196+0506306  2003 09 05 
2MASS J02271036-1624479  2011 12 08 
2MASS J02301551+2704061  2008 09 07 
2MASS J02411151-0326587  2006 08 21 
2MASS J02484100-1651216  2004 11 08 
2MASS J02511490-0352459  2004 11 08 
2MASS J02532028+2713332  2004 11 08 
2MASS J03101401-2756452  2011 12 08 
2MASS J03140344+1603056  2011 12 07 
2MASS J03180906+4925189  2007 11 14 
2MASS J03194133+5030451  2007 11 14 
2MASS J03205965+1854233  2004 11 08 
2MASS J03250136+2253039  2003 09 03 
2MASS J03250136+2253039  2011 12 08 
2MASS J03274091-3148156  2003 09 04 
2MASS J03313025-3042383  2004 11 08 
2MASS J03341218-4953322  2007 11 14 
